iter	Passed	Remaining
0	5	539
1	9	461
2	13	430
3	16	398
4	19	379
5	23	368
6	27	361
7	30	350
8	33	341
9	38	343
10	42	341
11	45	333
12	48	325
13	52	324
14	57	324
15	61	321
16	64	314
17	68	312
18	72	310
19	76	304
20	79	299
21	83	295
22	89	299
23	92	294
24	96	288
25	99	283
26	104	281
27	107	276
28	110	271
29	114	266
30	117	261
31	121	257
32	125	254
33	128	249
34	131	244
35	136	241
36	140	239
37	143	234
38	146	229
39	150	226
40	154	222
41	158	219
42	162	215
43	166	211
44	169	207
45	174	204
46	177	200
47	181	196
48	185	193
49	189	189
50	193	185
51	196	181
52	199	176
53	203	173
54	206	168
55	210	165
56	214	161
57	218	158
58	222	154
59	225	150
60	228	146
61	232	142
62	235	138
63	239	134
64	242	130
65	246	126
66	249	122
67	253	119
68	257	115
69	260	111
70	263	107
71	267	103
72	271	100
73	274	96
74	278	92
75	281	88
76	286	85
77	290	81
78	293	78
79	297	74
80	301	70
81	305	67
82	308	63
83	311	59
84	316	55
85	321	52
86	325	48
87	329	44
88	333	41
89	338	37
90	342	33
91	345	30
92	350	26
93	354	22
94	357	18
95	360	15
96	364	11
97	369	7
98	372	3
99	375	0
