time,oslo,stavanger,trondheim,tromsø,bergen
2022-10-11 00:00:00,1.56518,1.56518,0.01655,0.01324,1.56518
2022-10-11 01:00:00,1.49921,1.49921,0.01565,0.01252,1.49921
2022-10-11 02:00:00,1.39329,1.39329,0.0119,0.00952,1.39329
2022-10-11 03:00:00,1.41968,1.41968,0.01358,0.01086,1.41968
2022-10-11 04:00:00,1.55224,1.55224,0.02678,0.02142,1.55224
2022-10-11 05:00:00,1.69334,1.69334,0.10049,0.08039,1.69334
2022-10-11 06:00:00,2.03323,2.03323,0.14188,0.1135,2.03323
2022-10-11 07:00:00,2.28916,2.28916,0.16321,0.13057,2.28916
2022-10-11 08:00:00,2.37194,2.37194,0.16981,0.13585,2.37194
2022-10-11 09:00:00,2.62595,2.62595,0.16774,0.13419,2.62595
2022-10-11 10:00:00,2.72308,2.72308,0.16619,0.13295,2.72308
2022-10-11 11:00:00,2.68686,2.68686,0.16348,0.13078,2.68686
2022-10-11 12:00:00,2.34298,2.34298,0.16296,0.13037,2.34298
2022-10-11 13:00:00,2.30029,2.30029,0.15804,0.12643,2.30029
2022-10-11 14:00:00,2.27985,2.27985,0.14408,0.11526,2.27985
2022-10-11 15:00:00,2.27133,2.27133,0.14175,0.1134,2.27133
2022-10-11 16:00:00,2.32111,2.32111,0.14756,0.11805,2.32111
2022-10-11 17:00:00,2.37194,2.37194,0.16399,0.13119,2.37194
2022-10-11 18:00:00,2.42859,2.42859,0.16904,0.13523,2.42859
2022-10-11 19:00:00,2.36676,2.36676,0.16529,0.13223,2.36676
2022-10-11 20:00:00,2.31956,2.31956,0.14226,0.11381,2.31956
2022-10-11 21:00:00,2.29886,2.29886,0.13684,0.10947,2.29886
2022-10-11 22:00:00,2.11458,2.11458,0.10864,0.08691,2.11458
2022-10-11 23:00:00,1.97825,1.97825,0.06363,0.0509,1.97825
2022-10-12 00:00:00,1.9378,2.61354,0.13599,0.10879,1.9378
2022-10-12 01:00:00,1.90793,2.42823,0.13441,0.10753,1.90793
2022-10-12 02:00:00,1.9121,2.61915,0.13741,0.10993,1.9121
2022-10-12 03:00:00,1.91445,2.51631,0.14669,0.11735,1.91445
2022-10-12 04:00:00,1.9258,2.6014,0.16078,0.12862,1.9258
2022-10-12 05:00:00,2.08866,2.32565,0.18896,0.15117,2.08866
2022-10-12 06:00:00,2.35606,2.35606,0.20736,0.16589,2.35606
2022-10-12 07:00:00,2.61903,2.61903,0.22903,0.17894,2.61903
2022-10-12 08:00:00,2.66286,2.66286,0.2383,0.17946,2.66286
2022-10-12 09:00:00,2.73725,2.73725,0.24156,0.17915,2.73725
2022-10-12 10:00:00,2.91995,2.91995,0.25853,0.17946,2.91995
2022-10-12 11:00:00,2.6382,2.6382,0.27379,0.17936,2.6382
2022-10-12 12:00:00,2.51593,2.51593,0.23281,0.18625,2.51593
2022-10-12 13:00:00,2.43919,2.43919,0.22433,0.17946,2.43919
2022-10-12 14:00:00,2.408,2.408,0.22041,0.17184,2.408
2022-10-12 15:00:00,2.42679,2.42679,0.20854,0.15806,2.42679
2022-10-12 16:00:00,2.41896,2.41896,0.23308,0.15932,2.41896
2022-10-12 17:00:00,2.65321,2.65321,0.20815,0.16015,2.65321
2022-10-12 18:00:00,2.67449,2.67449,0.21429,0.17143,2.67449
2022-10-12 19:00:00,2.63703,2.63703,0.21429,0.17143,2.63703
2022-10-12 20:00:00,2.39939,2.411,0.20919,0.16735,2.39939
2022-10-12 21:00:00,2.29003,2.39665,0.2058,0.16464,2.29003
2022-10-12 22:00:00,2.15274,2.36206,0.20215,0.16172,2.15274
2022-10-12 23:00:00,1.98923,1.98923,0.19549,0.15639,1.98923
2022-10-13 00:00:00,2.24128,2.24128,0.1982,0.15856,2.24128
2022-10-13 01:00:00,2.10136,2.10136,0.19246,0.15397,2.10136
2022-10-13 02:00:00,2.11923,2.11923,0.18555,0.14844,2.11923
2022-10-13 03:00:00,2.20646,2.24675,0.18373,0.14698,2.20646
2022-10-13 04:00:00,2.2165,2.26475,0.18921,0.15137,2.2165
2022-10-13 05:00:00,2.34833,2.43323,0.20408,0.16326,2.34833
2022-10-13 06:00:00,2.70693,2.70693,0.23706,0.15773,2.70693
2022-10-13 07:00:00,3.13998,3.13998,0.24071,0.17578,3.13998
2022-10-13 08:00:00,3.36986,3.36986,0.2458,0.17964,3.36986
2022-10-13 09:00:00,3.35748,3.35748,0.25636,0.20102,3.35748
2022-10-13 10:00:00,3.32944,3.32944,0.28675,0.2294,3.32944
2022-10-13 11:00:00,3.31131,3.31131,0.27566,0.16566,3.31131
2022-10-13 12:00:00,3.2615,3.2615,0.29653,0.16044,3.2615
2022-10-13 13:00:00,3.222,3.222,0.35364,0.17265,3.222
2022-10-13 14:00:00,3.07113,3.07113,0.36408,0.17932,3.07113
2022-10-13 15:00:00,2.95494,2.95494,0.36485,0.17943,2.95494
2022-10-13 16:00:00,2.93355,2.93355,0.39536,0.17953,2.93355
2022-10-13 17:00:00,3.27168,3.27168,0.40175,0.17974,3.27168
2022-10-13 18:00:00,3.38434,3.38434,0.39015,0.17995,3.38434
2022-10-13 19:00:00,3.35188,3.35188,0.40515,0.17984,3.35188
2022-10-13 20:00:00,3.29371,3.29371,0.42628,0.17974,3.29371
2022-10-13 21:00:00,3.08104,3.08104,0.40501,0.17943,3.08104
2022-10-13 22:00:00,2.75778,2.75778,0.32509,0.17734,2.75778
2022-10-13 23:00:00,2.50664,2.50664,0.26014,0.16326,2.50664
2022-10-14 00:00:00,2.61043,2.61043,0.23989,0.19191,2.61043
2022-10-14 01:00:00,2.46608,2.46608,0.22483,0.17986,2.46608
2022-10-14 02:00:00,2.46595,2.46595,0.21431,0.17145,2.46595
2022-10-14 03:00:00,2.50398,2.50398,0.20834,0.16667,2.50398
2022-10-14 04:00:00,2.46933,2.46933,0.20004,0.16003,2.46933
2022-10-14 05:00:00,2.49035,2.49035,0.20185,0.16148,2.49035
2022-10-14 06:00:00,2.50346,2.50346,0.19134,0.15307,2.50346
2022-10-14 07:00:00,2.85368,2.85368,0.21159,0.16927,2.85368
2022-10-14 08:00:00,2.89353,2.89353,0.22391,0.17913,2.89353
2022-10-14 09:00:00,3.33929,3.33929,0.21846,0.17477,3.33929
2022-10-14 10:00:00,3.3537,3.3537,0.21289,0.17031,3.3537
2022-10-14 11:00:00,3.23246,3.23246,0.21068,0.16854,3.23246
2022-10-14 12:00:00,2.84005,2.84005,0.21275,0.1702,2.84005
2022-10-14 13:00:00,2.76281,2.76281,0.21393,0.17114,2.76281
2022-10-14 14:00:00,2.59601,2.59601,0.21483,0.17186,2.59601
2022-10-14 15:00:00,2.3521,2.3521,0.20756,0.16563,2.3521
2022-10-14 16:00:00,2.52475,2.52475,0.22145,0.15816,2.52475
2022-10-14 17:00:00,2.66481,2.66481,0.22483,0.17986,2.66481
2022-10-14 18:00:00,3.07344,3.07344,0.2234,0.17872,3.07344
2022-10-14 19:00:00,3.10576,3.10576,0.22794,0.17238,3.10576
2022-10-14 20:00:00,2.81136,2.81136,0.24638,0.16927,2.81136
2022-10-14 21:00:00,2.56849,2.56849,0.2687,0.16823,2.56849
2022-10-14 22:00:00,2.53916,2.53916,0.2687,0.1647,2.53916
2022-10-14 23:00:00,2.36054,2.36054,0.25624,0.16148,2.36054
2022-10-15 00:00:00,2.40026,2.40026,0.23255,0.17965,2.40026
2022-10-15 01:00:00,2.17351,2.17351,0.2283,0.17923,2.17351
2022-10-15 02:00:00,2.05479,2.05479,0.22224,0.17779,2.05479
